"Localidades";"Períodos";"Consumo de Energia Elétrica - Total (Em MWh)";"Consumo de Energia Elétrica -  Comércio e Serviços (Em MWh)";"Consumo de Energia Elétrica - Industrial (Em MWh)";"Consumo de Energia Elétrica - Residencial (Em MWh)";"Consumo de Energia Elétrica - Rural (Em MWh)";"Consumo de Energia Elétrica - Iluminação e Serviços Públicos e Outros (Em MWh)";"Cód. IBGE"
"Descalvado";"2017";"117510";"11488";"49742";"27109";"20172";"8999";3513702
"Descalvado";"2018";"123291";"11620";"52658";"27693";"22544";"8775";3513702
"Descalvado";"2019";"120725";"11477";"51754";"28671";"19476";"9348";3513702
"Diadema";"2015";"1127447";"167353";"586267";"327864";"-";"45964";3513801
"Diadema";"2016";"1049154";"156922";"517999";"329393";"-";"44841";3513801
"Diadema";"2017";"1070038";"156937";"538508";"330982";"-";"43610";3513801
"Diadema";"2018";"1070101";"156008";"538728";"332008";"-";"43358";3513801
"Diadema";"2019";"1065583";"160286";"532106";"331725";"-";"41466";3513801
"Dirce Reis";"2015";"4997";"294";"2748";"1020";"510";"425";3513850
"Dirce Reis";"2016";"4679";"272";"2430";"1006";"533";"440";3513850
"Dirce Reis";"2017";"5456";"284";"3136";"1065";"540";"431";3513850
"Dirce Reis";"2018";"5723";"297";"3358";"1114";"541";"413";3513850
"Dirce Reis";"2019";"5671";"337";"3135";"1219";"558";"422";3513850
"Divinolândia";"2015";"18063";"2957";"365";"6458";"6800";"1483";3513900
"Divinolândia";"2016";"18259";"2821";"745";"6719";"6505";"1469";3513900
"Divinolândia";"2017";"18665";"2798";"977";"6783";"6702";"1405";3513900
"Divinolândia";"2018";"18553";"2831";"498";"6813";"7021";"1389";3513900
"Divinolândia";"2019";"18678";"2846";"603";"7023";"7032";"1174";3513900
"Dobrada";"2015";"12204";"1190";"3688";"5208";"339";"1779";3514007
"Dobrada";"2016";"12298";"1147";"3731";"5248";"320";"1851";3514007
"Dobrada";"2017";"12708";"1140";"3635";"5525";"314";"2093";3514007
"Dobrada";"2018";"12886";"1087";"3615";"5735";"307";"2141";3514007
"Dobrada";"2019";"13593";"1152";"3824";"6070";"321";"2226";3514007
"Dois Córregos";"2015";"48347";"7105";"11158";"20489";"3698";"5897";3514106
"Dois Córregos";"2016";"48528";"6840";"11646";"20387";"3832";"5822";3514106
"Dois Córregos";"2017";"49422";"6358";"12572";"20577";"3715";"6201";3514106
"Dois Córregos";"2018";"51088";"6418";"13519";"20896";"3928";"6327";3514106
"Dois Córregos";"2019";"54376";"6645";"15871";"21608";"3909";"6343";3514106
"Dolcinópolis";"2015";"3464";"428";"270";"1570";"691";"504";3514205
"Dolcinópolis";"2016";"3465";"406";"249";"1579";"765";"466";3514205
"Dolcinópolis";"2017";"3735";"437";"272";"1651";"938";"438";3514205
"Dolcinópolis";"2018";"3936";"484";"248";"1713";"1044";"448";3514205
"Dolcinópolis";"2019";"4266";"520";"221";"1844";"1138";"544";3514205
"Dourado";"2015";"35350";"1706";"19672";"6413";"5123";"2436";3514304
"Dourado";"2016";"39062";"1703";"22799";"6510";"5236";"2814";3514304
"Dourado";"2017";"43823";"2099";"26603";"6659";"5673";"2788";3514304
"Dourado";"2018";"44253";"1802";"27220";"6767";"5814";"2650";3514304
"Dourado";"2019";"47566";"1792";"29915";"6891";"6355";"2613";3514304
"Dracena";"2015";"93352";"26997";"10523";"40259";"3697";"11875";3514403
"Dracena";"2016";"90696";"25643";"10005";"39522";"3678";"11848";3514403
"Dracena";"2017";"94780";"26880";"9866";"41746";"3971";"12316";3514403
"Dracena";"2018";"94912";"26729";"8874";"43149";"4001";"12158";3514403
"Dracena";"2019";"101495";"27902";"9679";"46637";"4361";"12916";3514403
"Duartina";"2015";"20795";"3503";"3021";"8844";"1922";"3505";3514502
"Duartina";"2016";"20791";"3457";"2892";"9001";"1860";"3582";3514502
"Duartina";"2017";"22064";"3510";"3567";"9408";"1929";"3651";3514502
"Duartina";"2018";"22956";"3457";"3974";"9756";"2151";"3619";3514502
"Duartina";"2019";"23674";"3531";"4088";"10104";"2314";"3637";3514502
"Dumont";"2015";"21201";"1823";"5836";"8046";"1878";"3618";3514601
"Dumont";"2016";"21047";"1741";"5520";"8140";"1944";"3701";3514601
"Dumont";"2017";"23112";"2248";"6740";"8424";"1635";"4064";3514601
"Dumont";"2018";"23379";"2259";"6808";"8662";"1662";"3988";3514601
"Dumont";"2019";"24772";"2261";"7573";"9233";"1840";"3865";3514601
"Echaporã";"2015";"8975";"1378";"189";"3773";"1997";"1638";3514700
"Echaporã";"2016";"9213";"1327";"173";"3966";"2071";"1675";3514700
"Echaporã";"2017";"9365";"1366";"165";"4072";"2143";"1620";3514700
"Echaporã";"2018";"9661";"1414";"172";"4140";"2262";"1672";3514700
"Echaporã";"2019";"10101";"1512";"184";"4353";"2243";"1808";3514700
"Eldorado";"2015";"12342";"2090";"168";"6310";"1866";"1907";3514809
"Eldorado";"2016";"12092";"1989";"146";"6291";"1780";"1887";3514809
"Eldorado";"2017";"12456";"2066";"127";"6569";"1870";"1824";3514809
"Eldorado";"2018";"12787";"2074";"154";"6973";"1882";"1704";3514809
"Eldorado";"2019";"13203";"2324";"146";"7196";"1874";"1663";3514809
"Elias Fausto";"2015";"76815";"3883";"51128";"13235";"4673";"3896";3514908
"Elias Fausto";"2016";"79804";"3609";"54038";"13457";"4771";"3929";3514908
"Elias Fausto";"2017";"79423";"3605";"52902";"13867";"4964";"4086";3514908
"Elias Fausto";"2018";"82583";"3705";"56077";"13751";"4863";"4187";3514908
"Elias Fausto";"2019";"81780";"4260";"54140";"14147";"5065";"4169";3514908
"Elisiário";"2015";"4784";"789";"202";"2375";"434";"984";3514924
"Elisiário";"2016";"4872";"803";"152";"2470";"456";"992";3514924
"Elisiário";"2017";"5063";"825";"160";"2604";"487";"988";3514924
"Elisiário";"2018";"5386";"862";"183";"2716";"600";"1025";3514924
"Elisiário";"2019";"5749";"928";"168";"2847";"713";"1092";3514924
"Embaúba";"2015";"4256";"295";"1285";"1639";"577";"460";3514957
"Embaúba";"2016";"4262";"257";"1291";"1687";"534";"493";3514957
"Embaúba";"2017";"4618";"242";"1583";"1733";"548";"513";3514957
"Embaúba";"2018";"4390";"249";"1105";"1768";"732";"535";3514957
"Embaúba";"2019";"4783";"246";"1340";"1832";"792";"572";3514957
"Embu das Artes";"2015";"459935";"73520";"168566";"197206";"1147";"19496";3515004
"Embu das Artes";"2016";"453751";"76272";"159587";"196144";"1178";"20570";3515004
"Embu das Artes";"2017";"471647";"83510";"167224";"197605";"1145";"22163";3515004
"Embu das Artes";"2018";"479035";"87329";"171401";"197056";"1052";"22198";3515004
"Embu das Artes";"2019";"486224";"89295";"176917";"196156";"1115";"22741";3515004
"Embu-Guaçu";"2015";"93756";"11540";"25570";"41928";"5841";"8877";3515103
"Embu-Guaçu";"2016";"92001";"11557";"25490";"41503";"5363";"8088";3515103
"Embu-Guaçu";"2017";"94538";"12665";"26748";"41352";"5754";"8019";3515103
"Embu-Guaçu";"2018";"92165";"12406";"24348";"41110";"6026";"8275";3515103
"Embu-Guaçu";"2019";"90684";"12022";"23309";"40703";"6177";"8474";3515103
"Emilianópolis";"2015";"4153";"512";"103";"1995";"862";"680";3515129
"Emilianópolis";"2016";"4091";"504";"62";"1975";"859";"692";3515129
"Emilianópolis";"2017";"4278";"531";"70";"2105";"910";"662";3515129
"Emilianópolis";"2018";"4421";"504";"76";"2186";"904";"751";3515129
"Emilianópolis";"2019";"4551";"405";"71";"2356";"973";"746";3515129
"Engenheiro Coelho";"2015";"75160";"8057";"49479";"10208";"5507";"1908";3515152
"Engenheiro Coelho";"2016";"79272";"8701";"49891";"11208";"7327";"2146";3515152
"Engenheiro Coelho";"2017";"92090";"9388";"59892";"12047";"8470";"2294";3515152
"Engenheiro Coelho";"2018";"103623";"10123";"70020";"12758";"8483";"2239";3515152
"Engenheiro Coelho";"2019";"93247";"9671";"62954";"12524";"5756";"2342";3515152
"Espírito Santo do Pinhal";"2015";"77185";"14217";"14500";"30790";"9984";"7694";3515186
"Espírito Santo do Pinhal";"2016";"76624";"13796";"14241";"30617";"10152";"7818";3515186
"Espírito Santo do Pinhal";"2017";"77048";"13135";"13879";"31355";"10631";"8047";3515186
"Espírito Santo do Pinhal";"2018";"78282";"13388";"13945";"31417";"11194";"8339";3515186
"Espírito Santo do Pinhal";"2019";"77050";"13776";"13587";"31773";"9944";"7969";3515186
"Espírito Santo do Turvo";"2015";"5555";"702";"87";"2509";"1253";"1004";3515194
"Espírito Santo do Turvo";"2016";"5319";"622";"88";"2514";"1194";"902";3515194
"Espírito Santo do Turvo";"2017";"5447";"622";"90";"2563";"1230";"943";3515194
"Espírito Santo do Turvo";"2018";"5657";"638";"87";"2642";"1339";"951";3515194
"Espírito Santo do Turvo";"2019";"5851";"686";"89";"2726";"1291";"1060";3515194
"Estiva Gerbi";"2015";"17442";"2810";"5420";"6654";"498";"2061";3557303
"Estiva Gerbi";"2016";"19111";"3475";"4903";"6760";"1778";"2196";3557303
"Estiva Gerbi";"2017";"19972";"3742";"4820";"7141";"1911";"2359";3557303
"Estiva Gerbi";"2018";"20384";"3971";"4758";"7337";"1969";"2349";3557303
"Estiva Gerbi";"2019";"18724";"3686";"4926";"7093";"601";"2418";3557303
"Estrela d'Oeste";"2015";"35665";"2533";"22084";"6199";"2745";"2104";3515202
"Estrela d'Oeste";"2016";"35955";"2264";"22186";"6092";"3300";"2114";3515202
"Estrela d'Oeste";"2017";"38012";"2451";"23350";"6580";"3400";"2230";3515202
"Estrela d'Oeste";"2018";"40815";"2449";"24814";"6868";"4452";"2232";3515202
"Estrela d'Oeste";"2019";"47620";"2601";"29151";"7175";"6408";"2285";3515202
"Estrela do Norte";"2015";"3063";"375";"3";"1523";"650";"512";3515301
"Estrela do Norte";"2016";"3080";"327";"28";"1524";"612";"589";3515301
"Estrela do Norte";"2017";"3292";"328";"56";"1631";"657";"619";3515301
"Estrela do Norte";"2018";"3355";"352";"42";"1631";"671";"659";3515301
"Estrela do Norte";"2019";"3513";"359";"29";"1671";"723";"731";3515301
"Euclides da Cunha Paulista";"2015";"10378";"1567";"98";"4211";"2956";"1546";3515350
"Euclides da Cunha Paulista";"2016";"10177";"1349";"77";"4026";"3192";"1533";3515350
"Euclides da Cunha Paulista";"2017";"10632";"1234";"51";"4254";"3520";"1573";3515350
"Euclides da Cunha Paulista";"2018";"11622";"1275";"35";"4241";"4557";"1515";3515350
"Euclides da Cunha Paulista";"2019";"12292";"1402";"118";"4416";"4814";"1542";3515350
"Fartura";"2015";"24759";"4013";"2646";"9658";"5804";"2638";3515400
"Fartura";"2016";"25279";"3909";"2891";"9916";"5946";"2617";3515400
"Fartura";"2017";"27232";"4172";"3507";"10424";"6545";"2583";3515400
"Fartura";"2018";"28045";"4209";"3716";"10606";"6883";"2631";3515400
"Fartura";"2019";"29184";"4313";"3861";"11030";"7324";"2655";3515400
"Fernando Prestes";"2015";"13151";"1611";"3218";"4541";"2133";"1647";3515608
"Fernando Prestes";"2016";"14069";"1547";"4076";"4618";"2189";"1638";3515608
"Fernando Prestes";"2017";"14791";"1526";"4142";"4845";"2505";"1774";3515608
"Fernando Prestes";"2018";"14955";"1664";"3672";"5022";"2704";"1893";3515608
"Fernando Prestes";"2019";"16548";"1876";"4029";"5327";"3333";"1982";3515608
"Fernandópolis";"2015";"135574";"40651";"12129";"59287";"5798";"17708";3515509
"Fernandópolis";"2016";"132637";"39242";"10994";"58282";"6080";"18039";3515509
"Fernandópolis";"2017";"144223";"44688";"11008";"62400";"6693";"19434";3515509
"Fernandópolis";"2018";"143670";"41479";"10771";"65000";"6859";"19561";3515509
"Fernandópolis";"2019";"152130";"43370";"11172";"69550";"7196";"20843";3515509
"Fernão";"2015";"2479";"371";"90";"701";"913";"403";3515657
"Fernão";"2016";"2487";"373";"87";"701";"924";"402";3515657
"Fernão";"2017";"2415";"218";"57";"707";"986";"447";3515657
"Fernão";"2018";"2546";"218";"33";"734";"1087";"474";3515657
"Fernão";"2019";"2507";"204";"31";"758";"992";"523";3515657
"Ferraz de Vasconcelos";"2015";"263963";"34953";"107403";"105134";"120";"16354";3515707
"Ferraz de Vasconcelos";"2016";"262398";"35282";"102185";"107555";"135";"17240";3515707
"Ferraz de Vasconcelos";"2017";"276541";"35892";"113815";"111716";"135";"14984";3515707
"Ferraz de Vasconcelos";"2018";"276946";"37220";"113402";"112379";"155";"13791";3515707
"Ferraz de Vasconcelos";"2019";"283168";"38162";"118340";"113022";"128";"13515";3515707
"Flora Rica";"2015";"2014";"197";"3";"971";"477";"366";3515806
"Flora Rica";"2016";"2029";"226";"3";"957";"482";"361";3515806
"Flora Rica";"2017";"2200";"238";"4";"1053";"512";"393";3515806
"Flora Rica";"2018";"2205";"226";"4";"1060";"514";"401";3515806
"Flora Rica";"2019";"2318";"241";"4";"1120";"522";"430";3515806
"Floreal";"2015";"5692";"815";"251";"2201";"1441";"984";3515905
"Floreal";"2016";"5400";"751";"268";"2159";"1328";"895";3515905
"Floreal";"2017";"5728";"777";"278";"2261";"1478";"933";3515905
"Floreal";"2018";"6113";"777";"253";"2322";"1743";"1018";3515905
"Floreal";"2019";"6378";"894";"257";"2363";"1865";"999";3515905
"Flórida Paulista";"2015";"16593";"2110";"2346";"6838";"1836";"3463";3516002
"Flórida Paulista";"2016";"16318";"1903";"2487";"6731";"1740";"3457";3516002
"Flórida Paulista";"2017";"16227";"2020";"1716";"7094";"1861";"3536";3516002
"Flórida Paulista";"2018";"16307";"2248";"1651";"7203";"1875";"3329";3516002
"Flórida Paulista";"2019";"17337";"2629";"1767";"7545";"1938";"3458";3516002
"Florínea";"2015";"5146";"706";"73";"2141";"1122";"1103";3516101
"Florínea";"2016";"5946";"873";"7";"2162";"1455";"1449";3516101
"Florínea";"2017";"6453";"893";"7";"2264";"1611";"1677";3516101
"Florínea";"2018";"7387";"1108";"8";"2289";"1979";"2004";3516101
"Florínea";"2019";"8246";"1161";"6";"2468";"2412";"2200";3516101
"Franca";"2015";"699812";"148380";"145205";"298286";"7749";"100192";3516200
"Franca";"2016";"692866";"141722";"140951";"299621";"8131";"102440";3516200
"Franca";"2017";"700216";"140057";"138839";"308927";"8484";"103909";3516200
"Franca";"2018";"704651";"138010";"133469";"320370";"9097";"103705";3516200
"Franca";"2019";"713907";"140456";"128445";"330831";"8870";"105305";3516200
"Francisco Morato";"2015";"172155";"20913";"5505";"87091";"105";"58541";3516309
"Francisco Morato";"2016";"171090";"20680";"3481";"87559";"108";"59263";3516309
"Francisco Morato";"2017";"182789";"21017";"3162";"92733";"110";"65768";3516309
"Francisco Morato";"2018";"180991";"20835";"2809";"92870";"112";"64365";3516309
"Francisco Morato";"2019";"182717";"21347";"2631";"93291";"99";"65349";3516309
"Franco da Rocha";"2015";"212638";"33109";"74540";"82171";"891";"21926";3516408
"Franco da Rocha";"2016";"212011";"31990";"73936";"83980";"886";"21219";3516408
"Franco da Rocha";"2017";"222496";"33984";"78415";"89205";"900";"19992";3516408
"Franco da Rocha";"2018";"220816";"34143";"77334";"90017";"865";"18457";3516408
"Franco da Rocha";"2019";"230122";"39157";"79231";"90675";"906";"20153";3516408
"Gabriel Monteiro";"2015";"5549";"579";"879";"2199";"1000";"892";3516507
"Gabriel Monteiro";"2016";"5530";"583";"916";"2227";"943";"861";3516507
"Gabriel Monteiro";"2017";"5810";"644";"1020";"2304";"932";"910";3516507
"Gabriel Monteiro";"2018";"6167";"694";"988";"2411";"1048";"1026";3516507
"Gabriel Monteiro";"2019";"6388";"665";"1027";"2543";"1041";"1111";3516507
"Gália";"2015";"11223";"1621";"1202";"3871";"2778";"1750";3516606
"Gália";"2016";"11179";"1553";"1066";"3975";"2883";"1702";3516606
"Gália";"2017";"11465";"1532";"1014";"4152";"3002";"1766";3516606
"Gália";"2018";"11784";"1387";"844";"4223";"3475";"1855";3516606
"Gália";"2019";"11602";"1465";"902";"4243";"2995";"1996";3516606
"Garça";"2015";"89160";"13994";"21529";"33144";"7300";"13194";3516705
"Garça";"2016";"85471";"12758";"19841";"32639";"7408";"12826";3516705
"Garça";"2017";"86907";"12392";"20817";"32961";"7378";"13359";3516705
"Garça";"2018";"86899";"12098";"20138";"33427";"7760";"13476";3516705
"Garça";"2019";"88304";"12430";"20951";"34578";"6937";"13408";3516705
"Gastão Vidigal";"2015";"4806";"605";"104";"2334";"1037";"726";3516804
"Gastão Vidigal";"2016";"4841";"569";"22";"2330";"1180";"740";3516804
"Gastão Vidigal";"2017";"4967";"586";"28";"2427";"1165";"761";3516804
"Gastão Vidigal";"2018";"5189";"593";"20";"2513";"1288";"774";3516804
"Gastão Vidigal";"2019";"5352";"631";"21";"2598";"1289";"812";3516804
"Gavião Peixoto";"2015";"22468";"644";"13739";"3264";"3328";"1493";3516853
"Gavião Peixoto";"2016";"26838";"600";"15616";"3307";"5550";"1765";3516853
"Gavião Peixoto";"2017";"28354";"603";"16012";"3287";"6709";"1743";3516853
"Gavião Peixoto";"2018";"32715";"570";"18503";"3391";"8349";"1902";3516853
"Gavião Peixoto";"2019";"39326";"591";"20734";"3656";"12254";"2091";3516853
"General Salgado";"2015";"17641";"3530";"997";"8026";"2308";"2781";3516903
"General Salgado";"2016";"16700";"3316";"445";"7925";"2387";"2626";3516903
"General Salgado";"2017";"17510";"3447";"360";"8440";"2503";"2759";3516903
"General Salgado";"2018";"18116";"3495";"719";"8651";"2592";"2659";3516903
"General Salgado";"2019";"18424";"3454";"381";"9072";"2751";"2766";3516903
"Getulina";"2015";"13375";"1651";"232";"6165";"2473";"2854";3517000
"Getulina";"2016";"13773";"1506";"212";"6000";"3012";"3042";3517000
"Getulina";"2017";"14250";"1532";"179";"6229";"3366";"2943";3517000
"Getulina";"2018";"15313";"1593";"159";"6455";"4188";"2917";3517000
"Getulina";"2019";"15971";"1554";"149";"6710";"4571";"2987";3517000
"Glicério";"2015";"10728";"1220";"1760";"3992";"2393";"1364";3517109
"Glicério";"2016";"10604";"1116";"1852";"3921";"2321";"1395";3517109
"Glicério";"2017";"10582";"1140";"1682";"3960";"2409";"1391";3517109
"Glicério";"2018";"11315";"1204";"1802";"4215";"2748";"1346";3517109
"Glicério";"2019";"11480";"1255";"1359";"4343";"3136";"1387";3517109
"Guaimbê";"2015";"7067";"808";"798";"3281";"1056";"1124";3517307
"Guaimbê";"2016";"7112";"823";"753";"3350";"1039";"1146";3517307
"Guaimbê";"2017";"7480";"835";"933";"3502";"1072";"1139";3517307
"Guaimbê";"2018";"7811";"803";"988";"3797";"1086";"1135";3517307
"Guaimbê";"2019";"8137";"809";"1245";"3789";"1140";"1154";3517307
"Guaíra";"2015";"111641";"13436";"22649";"37218";"28408";"9931";3517406
"Guaíra";"2016";"113116";"12096";"23992";"35789";"31349";"9890";3517406
"Guaíra";"2017";"114959";"12207";"21874";"36876";"33863";"10140";3517406
"Guaíra";"2018";"117520";"11768";"21831";"37974";"35301";"10645";3517406
"Guaíra";"2019";"127105";"12219";"22324";"39923";"41879";"10760";3517406
"Guaiçara";"2015";"25460";"1906";"10510";"8326";"2384";"2334";3517208
"Guaiçara";"2016";"23863";"1905";"8085";"8347";"3026";"2500";3517208
"Guaiçara";"2017";"36337";"1902";"20445";"8713";"2757";"2519";3517208
"Guaiçara";"2018";"25762";"1938";"8929";"9107";"3377";"2412";3517208
"Guaiçara";"2019";"26438";"1988";"9065";"9432";"3418";"2535";3517208
"Guapiara";"2015";"30025";"1483";"17553";"6107";"2625";"2257";3517604
"Guapiara";"2016";"31865";"1458";"19455";"6112";"2622";"2217";3517604
"Guapiara";"2017";"33171";"1570";"19945";"6646";"2799";"2212";3517604
"Guapiara";"2018";"32717";"1536";"19376";"6839";"2783";"2183";3517604
"Guapiara";"2019";"33953";"1586";"20483";"6925";"2790";"2169";3517604
"Guapiaçu";"2015";"63916";"4162";"29578";"16425";"9957";"3794";3517505
"Guapiaçu";"2016";"64911";"4085";"30684";"16179";"10239";"3725";3517505
"Guapiaçu";"2017";"70409";"4193";"35078";"17003";"10236";"3898";3517505
"Guapiaçu";"2018";"73633";"4532";"36505";"17577";"10885";"4134";3517505
"Guapiaçu";"2019";"78663";"5058";"38419";"18510";"12426";"4250";3517505
"Guará";"2015";"31690";"6358";"4390";"14794";"1480";"4668";3517703
"Guará";"2016";"28755";"6222";"2027";"14458";"1339";"4709";3517703
"Guará";"2017";"31494";"7770";"2793";"14725";"1373";"4833";3517703
"Guará";"2018";"31775";"7243";"3360";"14908";"1428";"4835";3517703
"Guará";"2019";"33230";"7289";"3841";"15640";"1393";"5067";3517703
"Guaraci";"2015";"17192";"2005";"1505";"7798";"3175";"2710";3517901
"Guaraci";"2016";"17200";"1786";"1482";"7708";"3531";"2692";3517901
"Guaraci";"2017";"18395";"1787";"1844";"8191";"3790";"2783";3517901
"Guaraci";"2018";"19463";"1771";"2257";"8591";"4014";"2829";3517901
"Guaraci";"2019";"20820";"1777";"2383";"9131";"4328";"3201";3517901
"Guarani d'Oeste";"2015";"3656";"247";"357";"1391";"505";"1155";3518008
"Guarani d'Oeste";"2016";"3536";"218";"317";"1393";"488";"1120";3518008
"Guarani d'Oeste";"2017";"3848";"250";"421";"1452";"554";"1171";3518008
"Guarani d'Oeste";"2018";"4027";"303";"470";"1515";"617";"1122";3518008
"Guarani d'Oeste";"2019";"4261";"309";"459";"1561";"709";"1223";3518008
"Guarantã";"2015";"16496";"1686";"7103";"4355";"1959";"1393";3518107
"Guarantã";"2016";"15678";"1285";"6000";"4329";"2645";"1420";3518107
"Guarantã";"2017";"17813";"1333";"7653";"4553";"2837";"1438";3518107
"Guarantã";"2018";"17442";"1359";"7177";"4577";"2797";"1532";3518107
"Guarantã";"2019";"18503";"1843";"8260";"4709";"2129";"1562";3518107
"Guararapes";"2015";"83046";"11744";"26801";"28387";"9716";"6398";3518206
"Guararapes";"2016";"83111";"10834";"27388";"28187";"9914";"6788";3518206
"Guararapes";"2017";"84210";"9049";"28412";"29168";"10775";"6807";3518206
"Guararapes";"2018";"87451";"8888";"29118";"30845";"11387";"7214";3518206
"Guararapes";"2019";"95323";"9143";"30630";"32623";"15717";"7210";3518206
"Guararema";"2015";"138894";"14482";"84152";"25125";"3926";"11209";3518305
"Guararema";"2016";"169193";"14871";"114214";"25352";"3689";"11068";3518305
"Guararema";"2017";"177902";"15399";"119198";"26431";"3544";"13329";3518305
"Guararema";"2018";"172517";"15043";"114621";"26942";"3308";"12604";3518305
"Guararema";"2019";"202840";"15904";"142746";"28290";"3098";"12801";3518305
"Guaratinguetá";"2015";"401348";"59338";"201694";"103668";"4854";"31795";3518404
"Guaratinguetá";"2016";"396479";"58376";"199364";"102832";"4830";"31078";3518404
"Guaratinguetá";"2017";"403301";"59826";"200109";"106305";"5205";"31855";3518404
"Guaratinguetá";"2018";"379205";"55914";"179926";"105963";"5306";"32096";3518404
"Guaratinguetá";"2019";"414678";"59030";"207819";"109571";"5234";"33025";3518404
"Guaraçaí";"2015";"13320";"1919";"2001";"5568";"2347";"1484";3517802
"Guaraçaí";"2016";"13298";"1835";"2151";"5547";"2281";"1484";3517802
"Guaraçaí";"2017";"14180";"1994";"2400";"5869";"2358";"1561";3517802
"Guaraçaí";"2018";"14536";"2073";"2405";"6009";"2497";"1551";3517802
"Guaraçaí";"2019";"16043";"2103";"3049";"6393";"2925";"1573";3517802
"Guareí";"2015";"20568";"1404";"2596";"6986";"5741";"3842";3518503
"Guareí";"2016";"19581";"1307";"2441";"6987";"5566";"3279";3518503
"Guareí";"2017";"20570";"1298";"2852";"7100";"6007";"3312";3518503
"Guareí";"2018";"20942";"1310";"2895";"7216";"6161";"3360";3518503
"Guareí";"2019";"21594";"1284";"2854";"7610";"6282";"3564";3518503
"Guariba";"2015";"52964";"7957";"7849";"27853";"1783";"7522";3518602
"Guariba";"2016";"52392";"7675";"6970";"27672";"2025";"8052";3518602
"Guariba";"2017";"53402";"7306";"7349";"28505";"1908";"8333";3518602
"Guariba";"2018";"55047";"8381";"6821";"29199";"1774";"8872";3518602
"Guariba";"2019";"56083";"7612";"6171";"30527";"1822";"9951";3518602
"Guarujá";"2015";"719390";"256058";"86827";"313496";"963";"62046";3518701
"Guarujá";"2016";"687345";"245394";"82311";"297011";"1023";"61607";3518701
"Guarujá";"2017";"715088";"250312";"88274";"308661";"1144";"66697";3518701
"Guarujá";"2018";"704755";"240967";"92317";"306627";"1148";"63697";3518701
"Guarujá";"2019";"844156";"326511";"113717";"315007";"1141";"87780";3518701
"Guarulhos";"2015";"3203592";"822825";"1365518";"862347";"790";"152111";3518800
"Guarulhos";"2016";"3149678";"824660";"1286525";"877544";"804";"160145";3518800
"Guarulhos";"2017";"3175477";"817139";"1305106";"899065";"869";"153298";3518800
"Guarulhos";"2018";"3233373";"854518";"1291011";"928801";"919";"158123";3518800
"Guarulhos";"2019";"3364850";"908696";"1323341";"938726";"795";"193292";3518800
"Guatapará";"2015";"14363";"2581";"1653";"5475";"3169";"1485";3518859
"Guatapará";"2016";"13249";"2183";"1411";"5333";"2971";"1351";3518859
"Guatapará";"2017";"13437";"2103";"1292";"5712";"2968";"1362";3518859
"Guatapará";"2018";"14184";"2004";"1440";"6046";"3347";"1347";3518859
"Guatapará";"2019";"15353";"2237";"1686";"6523";"3517";"1389";3518859
"Guzolândia";"2015";"6099";"720";"136";"2674";"1530";"1039";3518909
"Guzolândia";"2016";"5962";"670";"127";"2629";"1481";"1054";3518909
"Guzolândia";"2017";"6377";"715";"146";"2844";"1566";"1108";3518909
"Guzolândia";"2018";"6602";"771";"177";"2954";"1534";"1166";3518909
"Guzolândia";"2019";"6776";"798";"160";"3073";"1449";"1295";3518909
"Herculândia";"2015";"17743";"1867";"6107";"6177";"1726";"1865";3519006
"Herculândia";"2016";"17792";"1980";"5954";"6263";"1725";"1870";3519006
"Herculândia";"2017";"19367";"2218";"6849";"6545";"1815";"1940";3519006
"Herculândia";"2018";"20257";"2307";"7138";"6804";"1991";"2018";3519006
"Herculândia";"2019";"21471";"2298";"7439";"7442";"2183";"2108";3519006
"Holambra";"2015";"77116";"8583";"21026";"8924";"34221";"4363";3519055
"Holambra";"2016";"75085";"7900";"19620";"8921";"33744";"4900";3519055
"Holambra";"2017";"77663";"8159";"19777";"9403";"34913";"5411";3519055
"Holambra";"2018";"80930";"8817";"19869";"9738";"37070";"5436";3519055
"Holambra";"2019";"80930";"8817";"19869";"9738";"37070";"5436";3519055
"Hortolândia";"2015";"556677";"147784";"210260";"167786";"452";"30394";3519071
"Hortolândia";"2016";"538955";"154129";"183451";"170549";"463";"30363";3519071
"Hortolândia";"2017";"559642";"167082";"183407";"176445";"459";"32249";3519071
"Hortolândia";"2018";"573519";"182863";"174659";"182115";"484";"33397";3519071
"Hortolândia";"2019";"584962";"196881";"161831";"191479";"492";"34279";3519071
"Iacanga";"2015";"21990";"3507";"4022";"8652";"3376";"2433";3519105
"Iacanga";"2016";"22108";"3850";"3514";"8634";"3661";"2449";3519105
"Iacanga";"2017";"22328";"4117";"2821";"8786";"4043";"2562";3519105
"Iacanga";"2018";"23429";"4711";"2540";"9071";"4432";"2675";3519105
"Iacanga";"2019";"24946";"4279";"2872";"9807";"5268";"2719";3519105
"Iacri";"2015";"8609";"1167";"710";"3560";"1567";"1605";3519204
"Iacri";"2016";"9136";"1120";"1168";"3753";"1571";"1523";3519204
"Iacri";"2017";"10235";"1149";"2073";"3848";"1593";"1572";3519204
"Iacri";"2018";"11104";"1217";"2618";"3950";"1704";"1615";3519204
"Iacri";"2019";"12116";"1421";"3108";"4079";"1820";"1688";3519204
"Iaras";"2015";"9040";"1330";"103";"2433";"2123";"3052";3519253
"Iaras";"2016";"8983";"1368";"129";"2452";"2016";"3019";3519253
